"merchant_id","skewness","q2","amount_avg","stdev","transactions_count_slope","amount_sum_slope","amount_dist_slope","total_block_fraud","approved_vs_block_rate","block_rate","days_up","perc_normalized","risk"
XXXXX,0.00472,69390.0,78642,5881001.386027028,0.007236792233901714,577.0,-0.0014587295081967212,16,0.048929999999999994,0.04336,902,0.9099999999999999,Bajo
XXXXX,0.0051779999999999994,100000.0,121913,12696533.637302823,-0.008792287809731398,-44.0,-0.0000078571428571,14,3.5,0.63636,866,0.18,Alto 
XXXXX,-0.002418,625500.0,592135,41391015.40525083,-0.0006832722513409,-1545.0,-0.0000022267206478,13,0.7222200000000001,0.31707,832,0.45999999999999996,Bajo
XXXXX,0.01335,200000.0,388374,42330485.59376151,-0.00459121379753857,-6022.0,-0.0000103200883002,47,0.66197,0.28834000000000004,910,0.6,Medio
XXXXX,0.008678000000000002,2000000.0,2835457,288816082.7248214,0.0001949079636168,-1611.0,-0.0000011988786718,91,0.4174300000000001,0.27164,954,0.6799999999999999,Bajo
XXXXX,0.019027999999999996,309500.0,738812,67687450.52321984,0.1167380123179816,203600.0,0.0000027789473684,0,0.0,0.0,930,0.3,Bajo
XXXX,-0.009649,1500000.0,1286117,66502263.89335311,-0.19187865111370747,-59637.0,-0.0000004166666667,0,,0.0,1162,0.27,Alto 
XXXX,0.000238,300000.0,301600,20165019.216455013,-0.15085670647042487,-47709.0,0.0000018644067797,0,,0.0,993,0.5,Alto 
XXXX,-0.01,420000.0,373666,13900000,-0.0012855025284028133,1724.0,0.0000175,7,,0.875,998,0.0,Alto 
XXXXX,0.007481,399925.0,649086,99916085.85890886,0.03680423571493427,28044.0,-0.0000053098538002,65,0.625,0.33853999999999995,945,0.5900000000000001,Bajo
XXXXX,0.003784,1000000.0,1112800,89433320.73194452,-0.0014213012074952922,-628.0,-0.0000004507211538,7,,0.46667,676,0.2,Alto 
XXXXX,0.013812000000000001,576500.0,1429657,185307249.14848158,-0.0008752900184203,-1870.0,-0.0000023014317399,112,0.99115,0.40876,664,0.49000000000000005,Bajo
XXXXX,0.013042999999999999,10000.0,1569499,358690099.141736,0.0023376364552927477,145653.0,-0.0000006014708457,18,9.0,0.6923100000000001,470,0.08,Bajo
XXX,0.012632,116600.0,191421,17769911.880880762,0.00479492691852193,-242.0,-0.0000419264069264,0,0.0,0.0,1321,0.8099999999999999,Alto 
XXXXX,0.0,2490000.0,2490000,0.0,-0.012071397091229617,-30058.0,,5,,1.0,488,0.0,Alto 
XXXXX,-0.007174,713000.0,644916,28469756.146677144,-0.0016477720828898855,1104.0,-0.0000203003337041,150,0.74627,0.29528000000000004,655,0.55,Bajo
XXXXX,0.0057610000000000005,1000000.0,1255777,133195549.64203738,-0.7073958542966392,1740028.0,-0.000000318782309,3,1.5,0.42857,487,0.5700000000000001,Alto 
XXXXX,-0.008234,650000.0,603635,16893376.104996398,-0.0013749856978092017,-869.0,0.0000009440175631,23,0.9199999999999999,0.42593000000000003,518,0.5,Bajo
XXXXX,0.006057,2000000.0,2380506,188473116.50431216,-0.006111729057075037,-21444.0,-0.0000069828781333,674,2.2617400000000005,0.58558,501,0.31,Bajo
XXXXX,0.003023,832000.0,903641,71106505.50493361,-0.0035569906387147095,-4197.0,-0.0000006848609681,12,0.8,0.41379,911,0.52,Bajo
XXXXX,0.011649000000000001,290000.0,574977,73391367.48974812,-0.0048227124200914935,2657.0,-0.0000002141327623,6,1.0,0.46153999999999995,886,0.54,Medio
XXXXX,0.017464,26500.0,72184,7847774.109869127,0.02211217211199583,-4721.0,-0.000045,5,0.8333299999999999,0.26315999999999995,827,0.32,Bajo
XXXXX,0.008843,1060000.0,1524883,157708566.8106896,0.002601358805318648,6887.0,-0.0000029905961405,274,1.4345499999999998,0.5239,512,0.39,Bajo
XXXX,0.011494,114950.0,212585,25483738.320940487,-0.0007264644262538,134.0,-0.0001015892672859,31,0.124,0.10097999999999999,977,0.85,Bajo
XXXXX,0.006031000000000001,100000.0,135686,17750526.65607914,0.0010220562826358775,161.0,-0.0000398033958892,26,0.36619999999999997,0.24528000000000003,531,0.7,Bajo
XXXXX,-0.013489000000000001,2200000.0,1775526,94407099.35887623,0.054974018202079346,173842.0,0.0000003607723577,11,5.5,0.6875,607,0.31,Alto 
XXXXX,0.014927000000000001,2010750.0,3482575,295814321.40295774,0.013826621075336016,110804.0,-0.0000001918557379,31,1.9375,0.42466,553,0.26,Bajo
XXXX,0.010734999999999998,771450.0,1334115,157240479.3787343,-0.0005928700363662,1300.0,-0.0000009178153626,28,1.4736799999999999,0.45902000000000004,964,0.41,Bajo
XXXXXX,-0.005537000000000001,895000.0,808380,46929846.32609057,0.05431745275147435,64533.0,-0.0000007482993197,14,4.666670000000001,0.6666700000000001,315,0.32999999999999996,Alto 
XXXX,0.0060989999999999985,3530000.0,4232014,345301072.9518557,-0.0000344965398043,4892.0,-0.0000003294477534,192,0.8421099999999999,0.38944999999999996,966,0.5,Bajo
XXXXX,0.008248,225000.0,330222,38271238.710267805,-0.010972328475267598,3319.0,-0.0000036416184971,12,4.0,0.75,756,0.25,Bajo
XXXXXX,-0.008321000000000002,9300000.0,8585000,257796916.19567522,0.10944326052210974,1017822.0,0.0000011827956989,10,,0.8333299999999999,253,0.16999999999999998,Alto 
XXXXX,-0.006035999999999999,2000000.0,1701412,148394406.31197718,-0.0005777561987821,-8579.0,-0.0000005107273451,57,1.07547,0.42857,586,0.48,Bajo
XXXX,0.003109,559200.0,603435,42677633.691446625,0.0002736818949913,501.0,-0.0000147164130078,31,0.29524,0.18788,977,0.75,Bajo
XXXX,0.008186,570000.0,886621,116032751.31491014,0.0005008277429775,9.0,-0.0000052296149981,17,0.04607,0.04116000000000001,1119,0.9199999999999999,Bajo
XXXX,0.0052770000000000004,58000.0,103935,26112451.088534027,-0.010342445626110088,-813.0,-0.0003960607119676,1620,0.25198,0.17240000000000003,1106,0.75,Bajo
XXXXX,-0.022502,850000.0,683333,22220486.043288972,-0.02928979377903089,8775.0,-0.0000035714285714,0,0.0,0.0,915,0.67,Alto 
XXXX,0.006671000000000002,300000.0,400884,45371143.346414134,0.006709083730934968,2732.0,-0.0000840765981721,75,0.13940999999999998,0.1026,1184,0.82,Bajo
XXXXX,0.005481000000000001,646000.0,713414,36898299.499894,-0.0023741327215400887,1322.0,0.0000012369337979,6,0.27273000000000003,0.16667,685,0.72,Bajo
XXXX,0.012662999999999999,205000.0,629702,100618420.81384099,-0.0042370128710586975,878.0,-0.0000096137484757,274,2.51376,0.53937,966,0.32999999999999996,Bajo
XXXXX,0.005302999999999999,75000.0,91647,9416670.137080742,-0.4578301532098881,-62847.0,-0.000045,0,0.0,0.0,953,0.82,Alto 
XXXX,0.0032880000000000006,1480000.0,1639364,145408978.94387397,-0.0002752057399939,-236.0,-0.0000006490961212,8,0.11765,0.08510999999999999,987,0.8,Bajo
XXXX,0.0024490000000000007,1791576.0,1900088,132913907.81288505,0.000499071502529,2796.0,-0.0000013411829323,39,0.19212,0.13879000000000002,986,0.74,Bajo
XXXX,0.01715,12000.0,135037,21522669.618783094,-0.0013779297606041987,948.0,-0.000018515625,13,0.7222200000000001,0.34211,996,0.55,Bajo
XXXXX,0.011669,849400.0,1604311,194082261.10175437,0.0000618889999094,1279.0,-0.000000361109539,12,0.32432000000000005,0.19355,938,0.6900000000000001,Bajo
XXXXX,0.017320999999999996,1500.0,6000,779422.8634059948,0.498,7470.0,,0,0.0,0.0,941,0.32999999999999996,Alto 
XXXX,0.004978,2793184.0,3193223,241102875.49322215,0.0006688641003174,58.0,-0.0000001927532203,15,0.21126999999999999,0.15,999,0.75,Bajo
XXXX,0.013185999999999998,492500.0,901825,93126555.43357693,0.24618840514201096,310421.0,-0.0000004135435513,0,0.0,0.0,966,1.0,Bajo
XXXX,0.009923999999999999,226000.0,353075,38413699.07606129,0.0001276206218255,-293.0,-0.0000179230389739,23,0.15231999999999998,0.1133,1040,0.8300000000000001,Bajo
XXXX,0.0063289999999999996,1124472.0,1358997,111174119.09158964,0.014150841577164562,257912.0,-0.0000001900351325,0,0.0,0.0,967,0.53,Alto 
XXXXX,0.013552000000000003,292772.5,780510,107967270.53895019,0.0002063665602996,1217.0,-0.0000022686699004,18,0.5142899999999999,0.29508,929,0.6599999999999999,Bajo
XXXX,-0.015,1499999.0,1349999,30000000,-0.4949272807404143,-1042968.0,0.0000033333333333,0,0.0,0.0,1112,0.25,Alto 
XXXXX,0.013693000000000002,110000.0,348722,52300617.021145694,-0.007504149215501412,10487.0,-0.0000018629617935,7,1.0,0.31818,887,0.32,Alto 
XXXXX,0.0031330000000000004,1475481.0,1603659,122721462.78079654,-0.0006260951847021,-799.0,-0.0000015729911888,33,0.25581,0.17742,924,0.75,Bajo
XXXX,0.008298999999999999,520000.0,724144,73793652.97747763,-0.0011133355911722206,-644.0,-0.0000030587668593,19,0.6551699999999999,0.29688,1295,0.53,Bajo
XXXX,0.0028720000000000004,415125.0,443463,29597707.721532777,0.045618232631484866,37624.0,0.0000029605263158,0,0.0,0.0,1085,0.71,Alto 
XXXX,0.015767999999999997,2500.0,5250,523211.23841140873,-0.21506449803701627,6037.0,,0,,0.0,966,0.0,Alto 
XXXX,0.011824999999999999,153600.0,524183,94013725.55078787,0.0058449335436991335,-4983.0,-0.0000262968088763,1093,1.5659,0.39204,979,0.41,Bajo
XXXXX,0.00878,2700000.0,3643596,322410102.92504245,0.0005817222536094,1454.0,0.0000001911911002,31,0.57407,0.28704,959,0.5599999999999999,Bajo
XXXXX,0.0025860000000000006,1378000.0,1447335,80443177.70381589,0.0005655842528447,328.0,0.0000011231313926,16,1.6,0.5517200000000001,953,0.38,Bajo
XXXXX,0.001377,981700.0,1010966,63759991.03121369,-0.011204078038731219,-9174.0,-0.0000034728390597,28,0.43077,0.22580999999999998,938,0.65,Bajo
XXXXX,0.007572999999999999,4028051.0,6382650,932749554.6572233,-0.0000084177216722,6522.0,-0.0000000735965637,53,0.29444,0.18728000000000003,911,0.72,Bajo
XXXXX,0.012238,1603490.0,2949185,329879430.23865086,0.005219602864911722,8648.0,-0.0000001320496339,12,12.0,0.85714,883,0.06999999999999999,Alto 
XXXX,0.010629999999999999,185000.0,613747,121003069.00490677,-0.003983945881090588,1490.0,-0.0000067353383358,62,0.14940000000000003,0.10490999999999999,964,0.74,Bajo
XXXXX,0.0074979999999999995,760000.0,908415,59380750.3660495,0.005079184791072832,7163.0,0.0000000946252839,14,14.0,0.7368399999999999,957,0.16,Alto 
XXXX,0.0,50000.0,50000,0.0,-0.06130460310004697,-3065.0,,0,,0.0,1042,0.29,Alto 
XXXXX,0.004482000000000001,10000.0,16228,4169091.959739088,-5.6545684603090045,-481331.0,-0.0007885714285714,92,10.22222,0.40351,906,0.5900000000000001,Alto 
XXXXX,-0.010600000000000002,500000.0,441600,16528067.79390743,0.08061486594959064,99130.0,0.0000085714285714,0,0.0,0.0,937,0.44000000000000006,Alto 
XXXXX,0.010488,300000.0,366059,18895776.79436243,-0.025357722370643834,-10421.0,0.0000002857142857,11,1.8333300000000001,0.5,808,0.41,Bajo
XXXXX,-0.0035469999999999994,900000.0,863088,31220575.166474592,-0.0015727227904345198,-292.0,-0.000002365907421,15,1.5,0.57692,903,0.42000000000000004,Bajo
XXXXX,-0.010757000000000001,498000.0,496800,334664.01061362977,0.05905417744051684,29796.0,,5,5.0,0.8333299999999999,850,0.16999999999999998,Alto 
XXXXX,0.025298000000000005,40000.0,66666,3162277.660168379,-0.42347585417064326,-85323.0,-0.00001,3,1.5,0.33333,880,0.22000000000000003,Alto 
XXXXX,0.013512,525000.0,923939,88571355.58816172,0.12062018591256121,203972.0,0.0000005417956656,23,3.83333,0.71875,860,0.27999999999999997,Bajo
XXXXX,0.014005,120000.0,421778,64644335.22033617,-0.0003431229952259,-603.0,-0.0000055895095157,13,0.4642899999999999,0.26,938,0.6799999999999999,Bajo
XXXXX,0.004672,1600000.0,1827912,146342062.38528275,-0.000858095236231,-1507.0,-0.0000004780339158,20,0.60606,0.35087999999999997,881,0.6,Bajo
XXXXX,0.01134,150800.0,608949,121198415.44201173,-0.0016201632865239543,-4310.0,-0.0000027538215834,17,1.13333,0.4857100000000001,899,0.49000000000000005,Bajo
XXXX,0.000805,1855000.0,1888456,124690258.38158877,-0.002356838426134401,-3356.0,-0.0000037700465116,424,1.325,0.44631999999999994,965,0.41,Bajo
XXXXX,-0.000514,1350000.0,1328636,124774214.2650257,0.0021341664186106304,59551.0,-0.0000001132659713,7,7.0,0.875,915,0.13,Alto 
XXXX,-0.0020369999999999997,1676100.0,1595596,118535457.48320416,0.016435703624904843,41920.0,-0.0000002243677442,0,0.0,0.0,1206,0.7,Alto 
XXXXX,-0.008605,1800000.0,1646153,53636956.26080097,0.004153165582023138,14913.0,0.0000005,9,9.0,0.6923100000000001,781,0.15,Alto 
XXXX,0.010726,1950000.0,2980859,288337938.7725995,-0.07326862242349572,1584742.0,-0.0000000352680097,0,0.0,0.0,972,0.21000000000000002,Alto 
XXXXX,-0.013416,500000.0,427400,16233853.516648473,0.0,-55146.0,0.0000075,0,0.0,0.0,945,1.0,Alto 
XXXXX,0.006691,1495000.0,1761231,119376898.4873219,0.0002124393441224,1775.0,-0.0000010649085105,35,0.39773000000000003,0.25547,747,0.67,Bajo
XXXX,-0.013393000000000002,499063.0,496363,604810.0955396392,0.0024195914241809174,1684.0,-0.00005,0,0.0,0.0,985,0.15,Alto 
XXXXX,0.0025949999999999992,950000.0,1037187,100800949.80621052,-0.0001927362949537,282.0,-0.0000038724066321,11,0.15068,0.07692,819,0.55,Bajo
XXXXX,0.000129,150000.0,150428,9937202.409049869,0.0018450655729832022,393.0,-0.000053,13,0.28261000000000003,0.18571,873,0.71,Bajo
XXXX,0.015422999999999997,70000.0,220521,29278101.671325773,-0.0003070135777026,606.0,-0.0000441021579885,28,0.7,0.35442999999999997,987,0.61,Medio
XXXXX,0.002202,135000.0,144087,12382647.089568885,0.0011175638944781882,216.0,-0.0000369072164948,14,0.53846,0.28571,899,0.55,Bajo
XXXXX,0.012124000000000001,2142000.0,3132463,245090276.78123242,-0.0011334976054957974,-21849.0,-0.0000000438414825,27,0.35525999999999996,0.21600000000000003,371,0.64,Bajo
XXXXX,-0.000084,5880275.0,5871713,306308827.1452773,0.025273327637339627,225421.0,0.0000002794705208,15,5.0,0.65217,494,0.26,Alto 
XXXXX,0.008584,100000.0,143569,15227010.24306935,-0.0021016262280051552,-304.0,-0.0002926788596019,48,0.20168,0.13714,951,0.78,Bajo
XXXXX,0.00166,164285.0,169789,9944453.756142894,0.02775865419330483,3066.0,-0.000016265060241,25,25.0,0.8620700000000001,410,0.06999999999999999,Medio
XXXXX,0.0,500000.0,500000,,,,,0,0.0,0.0,888,1.0,Alto 
XXXXX,0.008447,149000.0,236084,30928845.108321358,0.0010376956515337553,812.0,-0.0000217404129794,35,0.31532,0.21739000000000003,586,0.73,Bajo
XXXXX,-0.021059,4000000.0,2715000,183054846.9721575,-0.012498623622831332,126790.0,0.0000006519396552,12,6.0,0.5714300000000001,502,0.24,Bajo
XXXXXX,0.007476000000000001,625000.0,734475,43933200.96960723,-0.0004343951410687,1922.0,-0.00000045184976,14,0.7,0.36841999999999997,329,0.53,Medio
XXXXX,0.009304999999999999,2250000.0,3361222,358267347.6864737,-0.0015080666474460622,82358.0,0.0000000493485985,12,6.0,0.70588,830,0.18,Alto 
XXXXX,0.006847000000000001,417600.0,527684,48230549.18942779,-0.0008145292378501,1725.0,-0.0000089252746119,47,2.9375,0.51648,781,0.27,Bajo
XXXXX,-0.013166,287800.0,238462,11242207.38047979,0.13580185702695394,109847.0,0.000006,4,2.0,0.5714300000000001,859,0.29,Alto 
XXXXX,-0.015575999999999998,8792000.0,7118346,322348294.95276743,0.016321484597064354,204447.0,0.0000010468534876,34,2.0,0.55738,565,0.31,Bajo
XXXXX,0.000335,1500000.0,1509372,83910931.60185695,-0.0030567548560341954,-7263.0,-0.0000004736842105,31,1.72222,0.5254199999999999,710,0.41,Bajo
XXXXX,0.007378999999999999,1114000.0,1426100,126882337.80715537,0.001451075692863552,3387.0,-0.0000044310448341,185,0.9840399999999999,0.43023000000000006,718,0.49000000000000005,Bajo
XXXX,0.004131999999999999,304000.0,333271,21251439.42999202,-0.0012986119881920432,-98.0,-0.0000405525164114,40,0.36036,0.22471999999999998,966,0.67,Bajo
XXXXX,0.007725,1500000.0,1907315,158189623.05443823,0.005270623570851822,2436.0,-0.0000004040069502,27,6.75,0.47368000000000005,422,0.49000000000000005,Medio
XXXXX,0.004722,761500.0,842972,51758117.55001685,0.0009810258041392,2589.0,-0.0000004141104294,33,1.22222,0.46479,493,0.41,Medio
XXXXX,0.008373,150000.0,235713,30709205.144738484,0.033433108846668294,14596.0,-0.0000060601180891,34,11.33333,0.7083299999999999,336,0.15,Alto 
XXXXX,-0.0011190000000000002,5000000.0,4893184,286345005.4106213,-0.0021498855736386126,-17968.0,0.0000002787600002,6,0.6666700000000001,0.27273000000000003,937,0.45,Bajo
XXXXXX,0.016272,1000000.0,2879016,346416157.812649,0.16061069794050345,1352338.0,0.0000001023345059,20,20.0,0.6666700000000001,299,0.06999999999999999,Alto 
XXXXX,0.007984,190000.0,320055,48870459.19104992,-0.0004821269968181,-1943.0,-0.0000108856399265,62,2.38462,0.57407,783,0.27999999999999997,Bajo
XXXXX,-0.007647999999999999,25000.0,18985,2359403.547817332,0.06550237069659821,3052.0,-0.0008666666666667,46,0.65714,0.34585999999999995,469,0.5599999999999999,Medio
XXXXX,0.011282,310000.0,616250,81436982.64828543,-0.013919290039064627,-24532.0,-0.0000004628687691,3,0.75,0.375,467,0.63,Alto 
XXXXX,-0.023707000000000002,5460000.0,3390843,261837162.5120595,0.005680211813202195,-20634.0,0.000000566444884,7,1.0,0.41176,533,0.41,Bajo
XXXXX,0.0073999999999999995,26199.0,37271,4488368.6716412995,-0.0014766502543435242,543.0,-0.00038,30,30.0,0.625,484,0.31,Bajo
XXXXX,0.012803,140000.0,198666,13746999.672655849,-0.0012116366701420199,126.0,-0.000005,0,0.0,0.0,691,0.89,Bajo
XXXXX,-0.024466,5000000.0,3231578,216841022.96329004,0.015978940724163657,2023143.0,0.0000015724215668,16,8.0,0.8421099999999999,421,0.11000000000000001,Alto 
XXXXX,0.006174999999999999,74000.0,103044,14110257.71670458,-0.0002152672558134,11.0,-0.0000871621621622,46,0.65714,0.33094,944,0.5900000000000001,Bajo
XXXXX,-0.003638,200000.0,187500,10307764.064044151,-1.9564285714285714,-146732.0,0.0000007142857143,0,0.0,0.0,930,0.75,Alto 
XXXXX,0.008906,260000.0,351816,30929739.92869638,0.0025694668318980746,2998.0,-0.0000277706849988,48,0.54545,0.31169,443,0.62,Bajo
XXXXX,-0.010683000000000002,2350000.0,2110076,67373343.65976974,0.008698628273592109,50865.0,0.0000037897310513,8,,0.6666700000000001,405,0.16999999999999998,Alto 
XXXXX,0.014697999999999998,1057405.0,2520338,298600574.6347522,-0.0019210898685606697,-11896.0,-0.0000003494384833,15,7.5,0.6818199999999999,384,0.18,Medio
XXXXXX,0.012018,720000.0,1361997,160258817.80309066,-0.0055002740470076516,-4417.0,-0.0000014913310124,80,1.0810799999999998,0.46512000000000003,249,0.45,Medio
XXXXX,0.009687999999999999,480000.0,716968,73379740.7837993,0.0010605471425260144,3292.0,-0.0000032863431214,31,0.41891999999999996,0.248,713,0.64,Bajo
XXXXX,0.008974,329900.0,806373,159287914.82783547,-0.0033554108518974632,-1055.0,-0.0000020245187901,20,0.32787,0.20407999999999998,455,0.7,Medio
XXXXXX,-0.011656,7500000.0,6293181,310612320.48385274,-0.38129042771121735,-5204986.0,0.0000000471920717,8,,0.7272700000000001,281,0.18,Alto 
XXXXX,-0.000676,120000.0,118000,8871302.04648675,-1.0144444444444445,-172456.0,0.0,3,3.0,0.6,888,0.2,Alto 
XXXXX,0.010634999999999999,394900.0,469814,21132696.473560993,0.0018662825715157702,1445.0,0.0000028571428571,12,0.75,0.32432000000000005,890,0.45999999999999996,Medio
XXXXX,0.006742999999999999,751000.0,949023,88103787.79517166,0.0013387347260006247,2569.0,-0.000007697114061,215,0.4756600000000001,0.27706,928,0.61,Bajo
XXXX,0.008388,140005.0,188552,17362163.792517807,0.0002740018045953,192.0,-0.0000297457627119,13,0.28261000000000003,0.18571,986,0.6900000000000001,Bajo
XXXXX,0.010683000000000002,390000.0,573875,51633689.61468671,-0.0017816668887263487,-184.0,-0.0000016207379729,4,0.28571,0.19047999999999998,891,0.76,Bajo
XXXX,0.008271,198900.0,286910,31921572.067473616,-0.0004717664444931,1547.0,-0.0000125412541254,4,0.11111,0.058820000000000004,1083,0.6599999999999999,Bajo
XXXX,0.017025,220000.0,322222,18012341.44814173,0.601218805345355,28370.0,0.0000055263157895,0,0.0,0.0,988,0.67,Alto 
XXXXX,0.011632000000000002,76600.0,152031,19454777.960767932,-0.0013062037250466485,-303.0,-0.0000353333333333,6,0.22222,0.18181999999999998,943,0.82,Bajo
XXXXX,0.002472,2050000.0,2172250,148351332.19205648,-0.007189677112966327,-6240.0,-0.0000001287840776,13,6.5,0.68421,900,0.26,Alto 
XXXXX,0.012427000000000002,369000.0,583750,51842818.95563347,0.0001191939415982,-558.0,-0.0000072253656454,79,1.4905700000000002,0.5524500000000001,814,0.39,Bajo
XXXXX,0.010623,650000.0,1001932,99385449.81702752,-0.0009349521910747,-220.0,-0.0000024602826377,11,0.09322,0.07382999999999999,874,0.8300000000000001,Bajo
XXXXX,-0.014068,1184500.0,974440,44793875.18284284,0.05438243222694509,84164.0,0.0000127272727273,9,4.5,0.64286,553,0.13999999999999999,Bajo
XXXXX,0.00025,5000000.0,5039769,478173232.4758573,0.06700181980984725,612211.0,0.00000004731197,9,9.0,0.75,698,0.16999999999999998,Alto 
XXXXXX,0.0028500000000000005,257000.0,293950,38897784.046678714,-0.004866786633913344,1497.0,-0.0000033536585366,19,0.82609,0.43182,246,0.52,Bajo
XXXXX,-0.005212000000000001,1500000.0,1358862,81242569.53600807,0.0021576979754268436,-1485.0,0.0000013197016591,28,1.1199999999999999,0.44444,669,0.48,Bajo
XXXXX,0.0,21000.0,21000,0.0,-7.524542767271762,-158015.0,,43,43.0,0.9555600000000002,856,0.04,Alto 
XXXXX,0.011843,1300000.0,2079488,197454984.22217083,0.0007973909066789,6348.0,-0.0000001980279157,28,0.7567600000000001,0.38888999999999996,873,0.5599999999999999,Bajo
XXXXX,-0.0015559999999999999,1300000.0,1271200,55533145.829443924,-0.10032661096591763,-80672.0,0.0000015873015873,9,3.0,0.6,753,0.2,Bajo
XXXXX,0.0050149999999999995,339687.0,402286,37445202.90453998,-0.003840111869929081,-3245.0,-0.000002463592233,0,0.0,0.0,762,0.71,Medio
XXXXX,0.01607,724825.0,2022556,242258705.64530927,-0.001990631256031433,-6505.0,-0.0000002984208201,38,1.15152,0.43182,544,0.43,Bajo
XXXXX,0.00885,73650.0,102171,9668518.577524783,-0.0005073475593561,-163.0,-0.0003122633744856,65,0.17615000000000003,0.13684000000000002,542,0.8099999999999999,Bajo
XXXXX,0.008327000000000003,9000000.0,9105075,37857177.75595157,-0.06911975540243154,-636876.0,0.0000040384615385,5,1.6666699999999999,0.35713999999999996,574,0.21000000000000002,Bajo
XXXXX,0.004037000000000001,403000.0,434514,23416218.681666967,0.0022357519143019833,2863.0,-0.0000135322580645,21,0.72414,0.39623,616,0.6,Bajo
